지점명,주소,전화번호,위도,경도
KBS,서울특별시 영등포구 여의공원로 13,02-780-1146,37.524704259313,126.916498234361
가락동금융센터,서울특별시 송파구 송파대로 268,02-407-9500,37.493720009567,127.118338257674
가산디지털금융센터,서울특별시 금천구 디지털로 130,02-2026-1000,37.475449528829,126.881889424527
가양역금융센터,서울특별시 강서구 화곡로 416,02-3662-5761,37.560233572823,126.855487802156
가좌동,인천광역시 서구 원적로 78,032-577-8258,37.493422348690,126.681706620028
간석동(점),인천광역시 남동구 남동대로 880,032-439-4387,37.460960499421,126.708858843546
강남구청,서울특별시 강남구 학동로 426,02-516-9072,37.517563110537,127.047468848219
강남구청역,서울특별시 강남구 학동로 402,02-545-5503,37.517090015161,127.041655294597
강남중앙금융센터,서울특별시 강남구 테헤란로 147,02-552-4173,37.500842192612,127.035667958351
강동구청역,서울특별시 강동구 강동대로 143-64,02-479-0177,37.528085556487,127.120109871065
강동금융센터,서울특별시 강동구 올림픽로 674,02-475-2988,37.541458746746,127.124830254864
강북구청,서울특별시 강북구 덕릉로 138,02-6023-8910,37.634729983742,127.029214532145
강북금융센터,서울특별시 강북구 도봉로 364,02-900-8541,37.639717970195,127.027856916771
개롱역,"서울특별시 송파구 오금로 396,(에스케이허브파크)",02-407-8100,37.497987689254,127.133917332259
개봉동,서울특별시 구로구 경인로 323,02-2613-2710,37.497566259518,126.856105986166
개포동,서울특별시 강남구 개포로 307,02-571-1366,37.483993600926,127.056211192598
갤러리아팰리스,서울특별시 송파구 올림픽로 212,02-2144-6161,37.511188597901,127.094068944909
건국대학교,서울특별시 광진구 능동로 120,02-453-0583,37.541865284468,127.077092878315
검단,인천광역시 서구 완정로 20,032-564-6926,37.595276812181,126.671870252113
검단산업단지금융센터,인천광역시 서구 보듬5로 5,032-569-5821,37.594186075752,126.612334182585
검단신도시,인천광역시 서구 이음대로 392,031-983-4362,37.592600033555,126.712723144522
경기광주금융센터,경기도 광주시 광주대로 30,031-761-8771,37.409546541083,127.261233909299
경제자유구역청,인천광역시 연수구 아트센터대로 175,032-851-1090,37.396701683961,126.634077947335
계산동,인천광역시 계양구 계양대로 178,032-551-0505,37.539678743883,126.723014452670
계양구청,인천광역시 계양구 계산새로 88,032-548-0091,37.537458427130,126.737763353365
고덕동,서울특별시 강동구 고덕로 353,02-427-5700,37.557189339679,127.164412618237
고양법원,경기도 고양시 일산동구 장백로 209,031-907-1389,37.652945123194,126.774788074466
공기업영업부,서울특별시 중구 세종대로9길 20,02-6264-3001,37.561112030180,126.974571006686
공덕금융센터,서울특별시 마포구 백범로 192,02-3273-6721,37.543223935498,126.951592685973
공항동,서울특별시 강서구 공항대로 17,02-2662-0051,37.561757584383,126.809391609850
과천,경기도 과천시 별양상가1로 10,02-507-5050,37.426976058263,126.992000041179
관양동,경기도 안양시 동안구 관평로 312,031-387-6200,37.403946493089,126.957603510497
광교상현금융센터,경기도 용인시 수지구 광교중앙로 316,031-212-6436,37.298260954430,127.069750028112
광교영업부,서울특별시 중구 청계천로 54,02-2010-2100,37.568181992991,126.983512341763
광교중앙금융센터,경기도 수원시 영통구 도청로66번길 6힐스테이트광교중앙역퍼스트2F,031-213-3041,37.289153204965,127.051751089686
광명,경기도 광명시 광명로 906,02-2614-5600,37.479739870036,126.854890444442
광장동,서울특별시 광진구 아차산로 506,02-455-0430,37.541486677269,127.097719468188
광화문,서울특별시 중구 세종대로 135-5,02-735-7241,37.568601427989,126.976420787736
교대역,서울특별시 서초구 서초대로 314,02-593-3600,37.494038708728,127.015901917805
